Date,Main Site Corrected Gas Meter
2018-07-03 00:00:00,340000
2018-07-04 00:00:00,132100
2018-07-05 00:00:00,220800
2018-07-06 00:00:00,496800
2018-07-07 00:00:00,742000
2018-07-08 00:00:00,680200
2018-07-09 00:00:00,771800
2018-07-10 00:00:00,804200
2018-07-11 00:00:00,665600
2018-07-12 00:00:00,477200
2018-07-13 00:00:00,662900
2018-07-14 00:00:00,631500
2018-07-15 00:00:00,611900
2018-07-16 00:00:00,487200
2018-07-17 00:00:00,569000
2018-07-18 00:00:00,683200
2018-07-19 00:00:00,567200
2018-07-20 00:00:00,599800
2018-07-21 00:00:00,309700
2018-07-22 00:00:00,366600
2018-07-23 00:00:00,119300
2018-07-24 00:00:00,119300
2018-07-25 00:00:00,119300
2018-07-26 00:00:00,617431.7965
2018-07-27 00:00:00,617431.7965
2018-07-28 00:00:00,617431.7965
2018-07-29 00:00:00,617431.7965
2018-07-30 00:00:00,617431.7965
2018-07-31 00:00:00,617431.7965
2018-08-01 00:00:00,617431.7965
2018-08-02 00:00:00,617431.7965
2018-08-03 00:00:00,617431.7965
2018-08-04 00:00:00,617431.7965
2018-08-05 00:00:00,617431.7965
2018-08-06 00:00:00,617431.7965
2018-08-07 00:00:00,617431.7965
2018-08-08 00:00:00,617431.7965
2018-08-09 00:00:00,617431.7965
2018-08-10 00:00:00,617431.7965
2018-08-11 00:00:00,617431.7965
2018-08-12 00:00:00,617431.7965
2018-08-13 00:00:00,617431.7965
2018-08-14 00:00:00,617431.7965
2018-08-15 00:00:00,617431.7965
2018-08-16 00:00:00,617431.7965
2018-08-17 00:00:00,617431.7965
2018-08-18 00:00:00,617431.7965
2018-08-19 00:00:00,617431.7965
2018-08-20 00:00:00,617431.7965
2018-08-21 00:00:00,617431.7965
2018-08-22 00:00:00,617431.7965
2018-08-23 00:00:00,617431.7965
2018-08-24 00:00:00,617431.7965
2018-08-25 00:00:00,617431.7965
2018-08-26 00:00:00,617431.7965
2018-08-27 00:00:00,617431.7965
2018-08-28 00:00:00,617431.7965
2018-08-29 00:00:00,617431.7965
2018-08-30 00:00:00,617431.7965
2018-08-31 00:00:00,617431.7965
2018-09-01 00:00:00,617431.7965
2018-09-02 00:00:00,617431.7965
2018-09-03 00:00:00,617431.7965
2018-09-04 00:00:00,617431.7965
2018-09-05 00:00:00,617431.7965
2018-09-06 00:00:00,617431.7965
2018-09-07 00:00:00,617431.7965
2018-09-08 00:00:00,617431.7965
2018-09-09 00:00:00,617431.7965
2018-09-10 00:00:00,617431.7965
2018-09-11 00:00:00,617431.7965
2018-09-12 00:00:00,617431.7965
2018-09-13 00:00:00,617431.7965
2018-09-14 00:00:00,617431.7965
2018-09-15 00:00:00,617431.7965
2018-09-16 00:00:00,617431.7965
2018-09-17 00:00:00,617431.7965
2018-09-18 00:00:00,617431.7965
2018-09-19 00:00:00,2000
2018-09-20 00:00:00,2000
