Date,CHP No1 kWHr Meter,CHP No2 kWHr Meter
2018-06-06 00:00:00,27270,27010
2018-06-07 00:00:00,27210,26920
2018-06-08 00:00:00,25560,26510
2018-06-09 00:00:00,26940,24990
2018-06-10 00:00:00,26870,26690
2018-06-11 00:00:00,27230,26890
2018-06-12 00:00:00,27280,27140
2018-06-13 00:00:00,27170,26880
2018-06-14 00:00:00,26990,26450
2018-06-15 00:00:00,27140,26890
2018-06-16 00:00:00,26660,25980
2018-06-17 00:00:00,26760,26570
2018-06-18 00:00:00,27070,25540
2018-06-19 00:00:00,27160,12340
2018-06-20 00:00:00,27080,26850
2018-06-21 00:00:00,27030,27160
2018-06-22 00:00:00,26440,26170
2018-06-23 00:00:00,26730,27220
2018-06-24 00:00:00,26710,27000
2018-06-25 00:00:00,22060,26560
2018-06-26 00:00:00,27100,27300
2018-06-27 00:00:00,26690,25750
2018-06-28 00:00:00,7850,10470
2018-06-29 00:00:00,25012.82575,25016.74463
2018-06-30 00:00:00,25012.82575,25016.74463
2018-07-01 00:00:00,25012.82575,25016.74463
2018-07-02 00:00:00,25012.82575,25016.74463
2018-07-03 00:00:00,25012.82575,25016.74463
2018-07-04 00:00:00,25012.82575,25016.74463
2018-07-05 00:00:00,25012.82575,25016.74463
2018-07-06 00:00:00,9000,13260
2018-07-07 00:00:00,26660,26540
2018-07-08 00:00:00,23240,22880
2018-07-09 00:00:00,25890,26210
2018-07-10 00:00:00,27300,27650
2018-07-11 00:00:00,18790,19050
2018-07-12 00:00:00,11680,11760
2018-07-13 00:00:00,27200,27600
2018-07-14 00:00:00,26940,27320
2018-07-15 00:00:00,26240,26530
2018-07-16 00:00:00,20360,20760
2018-07-17 00:00:00,27260,27620
2018-07-18 00:00:00,27210,27610
2018-07-19 00:00:00,26440,26800
2018-07-20 00:00:00,27110,27620
2018-07-21 00:00:00,26960,27520
2018-07-22 00:00:00,26950,27220
2018-07-23 00:00:00,27060,27290
2018-07-24 00:00:00,26460,26610
2018-07-25 00:00:00,27130,27390
2018-07-26 00:00:00,26940,27140
2018-07-27 00:00:00,26000,26330
2018-07-28 00:00:00,24990,25660
2018-07-29 00:00:00,25710,26070
2018-07-30 00:00:00,26300,26720
2018-07-31 00:00:00,26880,27530
2018-08-01 00:00:00,26980,27490
2018-08-02 00:00:00,27080,27470
2018-08-03 00:00:00,27100,27550
2018-08-04 00:00:00,22730,22410
2018-08-05 00:00:00,26970,27380
2018-08-06 00:00:00,27110,27590
2018-08-07 00:00:00,27280,27520
2018-08-08 00:00:00,26020,26410
2018-08-09 00:00:00,27210,27600
2018-08-10 00:00:00,27280,27670
2018-08-11 00:00:00,27120,27540
2018-08-12 00:00:00,25970,26240
2018-08-13 00:00:00,23970,24290
2018-08-14 00:00:00,27020,27570
2018-08-15 00:00:00,14170,15210
2018-08-16 00:00:00,26060,26350
2018-08-17 00:00:00,27150,27540
2018-08-18 00:00:00,26900,27450
2018-08-19 00:00:00,27180,27540
2018-08-20 00:00:00,27270,27610
2018-08-21 00:00:00,27110,27500
2018-08-22 00:00:00,27160,27510
2018-08-23 00:00:00,26510,26980
2018-08-24 00:00:00,27100,27580
2018-08-25 00:00:00,25340,26280
2018-08-26 00:00:00,25310,25980
2018-08-27 00:00:00,26960,27480
2018-08-28 00:00:00,27000,27500
2018-08-29 00:00:00,27180,27520
2018-08-30 00:00:00,27190,27610
2018-08-31 00:00:00,27090,27560
2018-09-01 00:00:00,26570,27010
2018-09-02 00:00:00,27160,27340
2018-09-03 00:00:00,27150,27600
2018-09-04 00:00:00,27110,27570
2018-09-05 00:00:00,22070,27130
2018-09-06 00:00:00,26920,27550
2018-09-07 00:00:00,27060,27590
2018-09-08 00:00:00,26110,26570
2018-09-09 00:00:00,26980,27470
2018-09-10 00:00:00,27130,27570
2018-09-11 00:00:00,27010,27490
2018-09-12 00:00:00,27130,27570
2018-09-13 00:00:00,24310,24550
2018-09-14 00:00:00,26280,26870
2018-09-15 00:00:00,26260,26980
2018-09-16 00:00:00,26620,27300
2018-09-17 00:00:00,26350,26730
2018-09-18 00:00:00,15850,25010
2018-09-19 00:00:00,27210,27550
2018-09-20 00:00:00,26630,26790
2018-09-21 00:00:00,11180,27050
2018-09-22 00:00:00,25012.82575,27620
2018-09-23 00:00:00,25012.82575,27730
2018-09-24 00:00:00,25012.82575,27690
2018-09-25 00:00:00,25012.82575,27680
2018-09-26 00:00:00,1840,27560
2018-09-27 00:00:00,27030,27600
2018-09-28 00:00:00,27110,27680
2018-09-29 00:00:00,26540,27060
2018-09-30 00:00:00,26330,26850
2018-10-01 00:00:00,27090,27590
2018-10-02 00:00:00,27150,12710
2018-10-03 00:00:00,27130,25016.74463
2018-10-04 00:00:00,27040,25016.74463
2018-10-05 00:00:00,27170,6870
2018-10-06 00:00:00,7610,7860
2018-10-09 00:00:00,13380,13710
2018-10-10 00:00:00,21820,25160
2018-10-11 00:00:00,27020,27140
2018-10-12 00:00:00,26360,26220
2018-10-13 00:00:00,26970,26780
2018-10-14 00:00:00,26970,27460
2018-10-15 00:00:00,27230,27840
2018-10-16 00:00:00,27030,27370
2018-10-17 00:00:00,27290,27130
2018-10-18 00:00:00,26990,27710
2018-10-19 00:00:00,26560,27440
2018-10-20 00:00:00,23830,24290
2018-10-21 00:00:00,26460,26590
2018-10-22 00:00:00,26860,27090
2018-10-23 00:00:00,23240,23220
2018-10-24 00:00:00,26390,26340
2018-10-25 00:00:00,27060,26720
2018-10-26 00:00:00,26920,26880
2018-10-27 00:00:00,25530,26170
2018-10-28 00:00:00,27230,27840
2018-10-29 00:00:00,26990,27490
2018-10-30 00:00:00,27200,27240
2018-10-31 00:00:00,27190,27050
2018-11-01 00:00:00,27260,27050
2018-11-02 00:00:00,27080,25930
2018-11-03 00:00:00,26310,26240
