Date,E Block
2018-12-14 00:00:00,3842
2018-12-15 00:00:00,3061
2018-12-16 00:00:00,3138
2018-12-17 00:00:00,3773
2018-12-18 00:00:00,3862
2018-12-19 00:00:00,3947
2018-12-20 00:00:00,3870
2018-12-21 00:00:00,3487
2018-12-22 00:00:00,2779
2018-12-23 00:00:00,3105
2018-12-24 00:00:00,2950
2018-12-25 00:00:00,2617
2018-12-26 00:00:00,2655
2018-12-27 00:00:00,2696
2018-12-28 00:00:00,1045
2018-12-29 00:00:00,1117
2018-12-30 00:00:00,2678
2018-12-31 00:00:00,2704
2019-01-01 00:00:00,2667
2019-01-02 00:00:00,3579
2019-01-03 00:00:00,3843
2019-01-04 00:00:00,3678
2019-01-05 00:00:00,3133
2019-01-06 00:00:00,3130
2019-01-07 00:00:00,3921
2019-01-08 00:00:00,3907
2019-01-09 00:00:00,3873
2019-01-10 00:00:00,4019
2019-01-11 00:00:00,3787
2019-01-12 00:00:00,3478
2019-01-13 00:00:00,3376
2019-01-14 00:00:00,3655
2019-01-15 00:00:00,3886
2019-01-16 00:00:00,3910
2019-01-17 00:00:00,3940
2019-01-18 00:00:00,4067
2019-01-19 00:00:00,3428
2019-01-20 00:00:00,3432
2019-01-21 00:00:00,3926
2019-01-22 00:00:00,3894
2019-01-23 00:00:00,3863
2019-01-24 00:00:00,3654
2019-01-25 00:00:00,3804
2019-01-26 00:00:00,3467
2019-01-27 00:00:00,3319
2019-01-28 00:00:00,3704
2019-01-29 00:00:00,3887
2019-01-30 00:00:00,2609
2019-01-31 00:00:00,2242
2019-02-01 00:00:00,3734
2019-02-02 00:00:00,3386
2019-02-03 00:00:00,3448
2019-02-04 00:00:00,3818
2019-02-05 00:00:00,3870
2019-02-06 00:00:00,3880
2019-02-07 00:00:00,3864
2019-02-08 00:00:00,3563
2019-02-09 00:00:00,3383
2019-02-10 00:00:00,3279
2019-02-11 00:00:00,3729
2019-02-12 00:00:00,3810
2019-02-13 00:00:00,3841
2019-02-14 00:00:00,3842
2019-02-15 00:00:00,3700
2019-02-16 00:00:00,3203
2019-02-17 00:00:00,3242
2019-02-18 00:00:00,3746
2019-02-19 00:00:00,3750
2019-02-20 00:00:00,3861
2019-02-21 00:00:00,3836
2019-02-22 00:00:00,3623
2019-02-23 00:00:00,3290
2019-02-24 00:00:00,3286
2019-02-25 00:00:00,3741
2019-02-26 00:00:00,3613
2019-02-27 00:00:00,3770
2019-02-28 00:00:00,3790
2019-03-01 00:00:00,3578
2019-03-02 00:00:00,3427
2019-03-03 00:00:00,3601
2019-03-04 00:00:00,3823
2019-03-05 00:00:00,3807
2019-03-06 00:00:00,3944
2019-03-07 00:00:00,3906
2019-03-08 00:00:00,3481
2019-03-09 00:00:00,3280
2019-03-10 00:00:00,3203
2019-03-11 00:00:00,3628
2019-03-12 00:00:00,3635
2019-03-13 00:00:00,3606
2019-03-14 00:00:00,3715
2019-03-15 00:00:00,3665
2019-03-16 00:00:00,3078
2019-03-17 00:00:00,3171
2019-03-18 00:00:00,3703
2019-03-19 00:00:00,3673
2019-03-20 00:00:00,3674
2019-03-21 00:00:00,3726
2019-03-22 00:00:00,3628
2019-03-23 00:00:00,3104
2019-03-24 00:00:00,3054
2019-03-25 00:00:00,3706
2019-03-26 00:00:00,3739
2019-03-27 00:00:00,2783
2019-03-28 00:00:00,3793
2019-03-29 00:00:00,3604
2019-03-30 00:00:00,3075
2019-03-31 00:00:00,2908
2019-04-01 00:00:00,3642
2019-04-02 00:00:00,3712
2019-04-03 00:00:00,3872
2019-04-04 00:00:00,3769
2019-04-05 00:00:00,3599
2019-04-06 00:00:00,3007
2019-04-07 00:00:00,3182
2019-04-08 00:00:00,3550
2019-04-09 00:00:00,3433
2019-04-10 00:00:00,3684
