Date,Main Site Water Meter
2018-08-15 00:00:00,186.72
2018-08-16 00:00:00,187.72
2018-08-17 00:00:00,165.48
2018-08-18 00:00:00,85.6
2018-08-19 00:00:00,91.04
2018-08-20 00:00:00,181.04
2018-08-21 00:00:00,199.32
2018-08-22 00:00:00,185.92
2018-08-23 00:00:00,160.2
2018-08-24 00:00:00,143.08
2018-08-25 00:00:00,97.2
2018-08-26 00:00:00,92.72
2018-08-27 00:00:00,94.56
2018-08-28 00:00:00,185.4
2018-08-29 00:00:00,196.96
2018-08-30 00:00:00,174.16
2018-08-31 00:00:00,151.4
2018-09-01 00:00:00,87.64
2018-09-02 00:00:00,83.6
2018-09-03 00:00:00,151.32
2018-09-04 00:00:00,173.4
2018-09-05 00:00:00,172.4
2018-09-06 00:00:00,165.4
2018-09-07 00:00:00,144.44
2018-09-08 00:00:00,91.44
2018-09-09 00:00:00,110.12
2018-09-10 00:00:00,158.44
2018-09-11 00:00:00,201.2
2018-09-12 00:00:00,201.4
2018-09-13 00:00:00,205.24
2018-09-14 00:00:00,203.92
2018-09-15 00:00:00,93
2018-09-16 00:00:00,88.8
2018-09-17 00:00:00,173.6
2018-09-18 00:00:00,200.6
2018-09-19 00:00:00,195.92
2018-09-20 00:00:00,224.08
2018-09-21 00:00:00,179.12
2018-09-22 00:00:00,107.84
2018-09-23 00:00:00,86.72
2018-09-24 00:00:00,170.4
2018-09-25 00:00:00,182.16
2018-09-26 00:00:00,187
2018-09-27 00:00:00,187.52
2018-09-28 00:00:00,155.04
2018-09-29 00:00:00,90.56
2018-09-30 00:00:00,97.52
2018-10-01 00:00:00,166.28
2018-10-02 00:00:00,164.76
2018-10-03 00:00:00,165.8
2018-10-04 00:00:00,165.52
2018-10-05 00:00:00,153.44
2018-10-06 00:00:00,31.92
2018-10-09 00:00:00,99.04
2018-10-10 00:00:00,149.76
2018-10-11 00:00:00,179.6
2018-10-12 00:00:00,147.96
2018-10-13 00:00:00,91.56
2018-10-14 00:00:00,92.64
2018-10-15 00:00:00,159.24
2018-10-16 00:00:00,203.04
2018-10-17 00:00:00,202.56
2018-10-18 00:00:00,233.28
2018-10-19 00:00:00,176
2018-10-20 00:00:00,119.44
2018-10-21 00:00:00,101.24
2018-10-22 00:00:00,180.96
2018-10-23 00:00:00,150.32
2018-10-24 00:00:00,211.36
2018-10-25 00:00:00,200.48
2018-10-26 00:00:00,168.92
2018-10-27 00:00:00,97.64
2018-10-28 00:00:00,95.64
2018-10-29 00:00:00,179
2018-10-30 00:00:00,186.6
2018-10-31 00:00:00,221.88
2018-11-01 00:00:00,196.08
2018-11-02 00:00:00,167.88
2018-11-03 00:00:00,109.92
2018-11-04 00:00:00,120.84
2018-11-05 00:00:00,164.96
2018-11-06 00:00:00,185.96
2018-11-07 00:00:00,182.24
2018-11-08 00:00:00,182.16
2018-11-09 00:00:00,149.56
2018-11-10 00:00:00,88.44
2018-11-11 00:00:00,89.48
2018-11-12 00:00:00,158.84
2018-11-13 00:00:00,181.96
2018-11-14 00:00:00,194.44
2018-11-15 00:00:00,184.68
2018-11-16 00:00:00,147.8
2018-11-17 00:00:00,89.84
2018-11-18 00:00:00,94.4
2018-11-19 00:00:00,154.32
2018-11-20 00:00:00,165.88
2018-11-21 00:00:00,186.76
2018-11-22 00:00:00,191.2
2018-11-23 00:00:00,176.92
2018-11-24 00:00:00,107.36
2018-11-25 00:00:00,103.6
2018-11-26 00:00:00,164.24
2018-11-27 00:00:00,198.2
2018-11-28 00:00:00,205.24
2018-11-29 00:00:00,179.48
2018-11-30 00:00:00,166.36
2018-12-01 00:00:00,94.12
2018-12-02 00:00:00,125.48
2018-12-03 00:00:00,154.72
2018-12-04 00:00:00,180.68
2018-12-05 00:00:00,222.76
2018-12-06 00:00:00,180.48
2018-12-07 00:00:00,160.08
2018-12-08 00:00:00,87.8
2018-12-09 00:00:00,95.88
2018-12-10 00:00:00,150.72
2018-12-11 00:00:00,149
2018-12-12 00:00:00,180.56
2018-12-13 00:00:00,218.44
2018-12-14 00:00:00,165.72
2018-12-15 00:00:00,94.28
2018-12-16 00:00:00,93.6
2018-12-17 00:00:00,158.84
2018-12-18 00:00:00,171.32
2018-12-19 00:00:00,161.52
2018-12-20 00:00:00,138.56
2018-12-21 00:00:00,109.4
