Date,Site Incomer
2019-03-12 00:00:00,17615
2019-03-13 00:00:00,12755
2019-03-14 00:00:00,17280
2019-03-15 00:00:00,10090
2019-03-16 00:00:00,2640
2019-03-17 00:00:00,3025
2019-03-18 00:00:00,17925
2019-03-19 00:00:00,21545
2019-03-20 00:00:00,19065
2019-03-21 00:00:00,18800
2019-03-22 00:00:00,13285
2019-03-23 00:00:00,3790
2019-03-24 00:00:00,2490
2019-03-25 00:00:00,17385
2019-03-26 00:00:00,33065
2019-03-27 00:00:00,26775
2019-03-28 00:00:00,28930
2019-03-29 00:00:00,16045
2019-03-30 00:00:00,2745
2019-03-31 00:00:00,3360
2019-04-01 00:00:00,18065
2019-04-02 00:00:00,20560
2019-04-03 00:00:00,28285
2019-04-04 00:00:00,18830
2019-04-05 00:00:00,23610
2019-04-06 00:00:00,3935
2019-04-07 00:00:00,8980
