Date,CHP No1 Gas Meter,CHP No2 Gas Meter
2018-10-12 00:00:00,6373,6466
2018-10-13 00:00:00,6504,6572
2018-10-14 00:00:00,6450,6680
2018-10-15 00:00:00,6503,6748
2018-10-16 00:00:00,6514,6710
2018-10-17 00:00:00,6565,6667
2018-10-18 00:00:00,6569,6861
2018-10-19 00:00:00,6489,6848
2018-10-20 00:00:00,5842,6141
2018-10-21 00:00:00,6476,6718
2018-10-22 00:00:00,6579,6862
2018-10-23 00:00:00,5684,5874
2018-10-24 00:00:00,6463,6675
2018-10-25 00:00:00,6586,6736
2018-10-26 00:00:00,6505,6728
2018-10-27 00:00:00,6224,6545
2018-10-28 00:00:00,6572,6889
2018-10-29 00:00:00,6540,6866
2018-10-30 00:00:00,6548,6769
2018-10-31 00:00:00,6564,6747
2018-11-01 00:00:00,6533,6702
2018-11-02 00:00:00,6559,6765
